Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
Transfer,Current,2025-05-30 16:43:43,2025-05-30 16:43:43,To pocket EUR Salvadanaio from EUR,-0.82,0,EUR,COMPLETED,764.75
Transfer,Current,2025-05-31 2:46:30,2025-05-31 2:46:30,To pocket EUR Salvadanaio from EUR,-25,0,EUR,COMPLETED,739.75
Card Payment,Current,2025-05-30 13:41:11,2025-05-31 4:22:51,Amazon,-7.99,0,EUR,COMPLETED,731.76
Transfer,Current,2025-05-31 10:04:02,2025-05-31 10:04:02,To Bold Stack portfolio,-10,0,EUR,COMPLETED,721.76
Card Payment,Current,2025-05-29 21:05:02,2025-05-31 13:06:34,Gruppo Torinese Trasporti,-1.9,0,EUR,COMPLETED,719.86
Card Payment,Current,2025-05-30 16:42:58,2025-05-31 13:18:58,Carrefour,-5.18,0,EUR,COMPLETED,714.68
Transfer,Current,2025-05-31 16:12:21,2025-05-31 16:12:21,To pocket EUR Salvadanaio from EUR,-1,0,EUR,COMPLETED,713.68
Transfer,Current,2025-06-01 12:37:46,2025-06-01 12:37:46,To pocket EUR Salvadanaio from EUR,-0.71,0,EUR,COMPLETED,712.97
Card Payment,Current,2025-05-31 16:12:20,2025-06-01 13:20:42,Officina Musicale 2.0,-38,0,EUR,COMPLETED,674.97
Transfer,Current,2025-06-01 19:54:07,2025-06-01 19:54:07,To pocket EUR Salvadanaio from EUR,-0.01,0,EUR,COMPLETED,674.96
Exchange,Current,2025-06-01 22:07:17,2025-06-01 22:07:17,Exchanged to EUR,104.15,1.04,EUR,COMPLETED,778.07
Transfer,Current,2025-06-01 22:16:37,2025-06-01 22:16:37,To pocket EUR Salvadanaio from EUR,-20,0,EUR,COMPLETED,758.07
Card Payment,Current,2025-06-01 19:54:06,2025-06-02 11:36:15,Amazon,-19.99,0,EUR,COMPLETED,738.08
Card Payment,Current,2025-06-01 12:37:45,2025-06-02 15:15:12,Knet,-53,0,EUR,COMPLETED,685.08
Transfer,Current,2025-06-05 10:18:12,2025-06-05 10:18:12,To pocket EUR Salvadanaio from EUR,-3,0,EUR,COMPLETED,682.08
Transfer,Current,2025-06-05 17:37:21,2025-06-05 17:37:21,To pocket EUR Salvadanaio from EUR,-3,0,EUR,COMPLETED,679.08
Transfer,Current,2025-06-05 17:57:41,2025-06-05 17:57:41,To pocket EUR Salvadanaio from EUR,-0.09,0,EUR,COMPLETED,678.99
Card Payment,Current,2025-06-05 17:37:20,2025-06-06 6:31:27,The Vaping Company,-35,0,EUR,COMPLETED,643.99
Card Payment,Current,2025-06-05 10:18:12,2025-06-06 6:51:20,C.d.m.,-79,0,EUR,COMPLETED,564.99
Card Payment,Current,2025-06-05 17:57:40,2025-06-06 15:27:23,Pam Panorama,-35.97,0,EUR,COMPLETED,529.02
Transfer,Current,2025-06-06 19:52:16,2025-06-06 19:52:16,To pocket EUR Salvadanaio from EUR,-0.03,0,EUR,COMPLETED,528.99
Transfer,Current,2025-06-06 22:09:29,2025-06-06 22:09:29,To pocket EUR Salvadanaio from EUR,-3,0,EUR,COMPLETED,525.99
Transfer,Current,2025-06-06 22:10:05,2025-06-06 22:10:05,To pocket EUR Salvadanaio from EUR,-3,0,EUR,COMPLETED,522.99
Transfer,Current,2025-06-06 22:43:10,2025-06-06 22:43:10,To pocket EUR Salvadanaio from EUR,-3,0,EUR,COMPLETED,519.99
Card Payment,Current,2025-06-06 19:52:15,2025-06-07 4:21:57,Bird,-2.99,0,EUR,COMPLETED,517
Card Payment,Current,2025-06-06 22:10:05,2025-06-07 7:02:09,Supersonic,-3,0,EUR,COMPLETED,514
Card Payment,Current,2025-06-06 22:09:29,2025-06-07 7:02:09,Supersonic,-32,0,EUR,COMPLETED,482
Card Payment,Current,2025-06-06 22:43:09,2025-06-07 7:02:09,Supersonic,-5,0,EUR,COMPLETED,477
Transfer,Current,2025-06-07 9:16:55,2025-06-07 9:16:55,To pocket EUR Salvadanaio from EUR,-0.06,0,EUR,COMPLETED,476.94
Transfer,Current,2025-06-07 10:04:28,2025-06-07 10:04:29,To Bold Stack portfolio,-20,0,EUR,COMPLETED,456.94
Transfer,Current,2025-06-07 20:36:15,2025-06-07 20:36:15,To pocket EUR Salvadanaio from EUR,-3,0,EUR,COMPLETED,453.94
Transfer,Current,2025-06-07 22:54:46,2025-06-07 22:54:46,To pocket EUR Salvadanaio from EUR,-0.03,0,EUR,COMPLETED,453.91
Transfer,Current,2025-06-07 23:37:04,2025-06-07 23:37:04,To pocket EUR Salvadanaio from EUR,-0.03,0,EUR,COMPLETED,453.88
Card Payment,Current,2025-06-07 22:54:46,2025-06-08 7:00:32,Amazon,-7.99,0,EUR,COMPLETED,445.89
Card Payment,Current,2025-06-07 23:37:03,2025-06-08 7:21:50,Bird,-2.99,0,EUR,COMPLETED,442.9
Transfer,Current,2025-06-08 10:41:10,2025-06-08 10:41:10,To pocket EUR Salvadanaio from EUR,-20,0,EUR,COMPLETED,422.9
Transfer,Current,2025-06-08 12:06:45,2025-06-08 12:06:45,To pocket EUR Salvadanaio from EUR,-1.5,0,EUR,COMPLETED,421.4
Card Payment,Current,2025-06-08 12:06:44,2025-06-09 11:22:51,Tabaccheria,-3.5,0,EUR,COMPLETED,417.9
Card Payment,Current,2025-06-07 20:36:14,2025-06-09 17:24:56,Capodoglio Murazzi,-17,0,EUR,COMPLETED,400.9
Card Payment,Current,2025-06-07 9:16:54,2025-06-11 10:52:33,Amazon,-50.98,0,EUR,COMPLETED,349.92
Transfer,Current,2025-06-11 23:32:37,2025-06-11 23:32:37,To pocket EUR Salvadanaio from EUR,-3,0,EUR,COMPLETED,346.92
Card Payment,Current,2025-06-11 23:32:36,2025-06-12 7:11:19,Insomma,-24,0,EUR,COMPLETED,322.92
Transfer,Current,2025-06-12 7:27:46,2025-06-12 7:27:46,To pocket EUR Salvadanaio from EUR,-0.03,0,EUR,COMPLETED,322.89
Transfer,Current,2025-06-12 8:52:15,2025-06-12 8:52:15,To pocket EUR Salvadanaio from EUR,-2.1,0,EUR,COMPLETED,320.79
Card Payment,Current,2025-06-12 7:27:45,2025-06-12 15:42:41,Bird,-2.99,0,EUR,COMPLETED,317.8
Transfer,Current,2025-06-12 17:11:17,2025-06-12 17:11:17,To pocket EUR Salvadanaio from EUR,-2.13,0,EUR,COMPLETED,315.67
Card Refund,Current,2025-06-12 2:00:00,2025-06-13 3:49:21,Amazon,25.99,0,EUR,COMPLETED,341.66
Card Payment,Current,2025-06-12 17:11:17,2025-06-13 19:15:02,Pam Panorama,-36.29,0,EUR,COMPLETED,305.37
Card Payment,Current,2025-06-12 8:52:15,2025-06-13 19:16:24,pagoPA,-46.3,0,EUR,COMPLETED,259.07
Transfer,Current,2025-06-14 9:24:59,2025-06-14 9:24:59,To pocket EUR Salvadanaio from EUR,-0.06,0,EUR,COMPLETED,259.01
Transfer,Current,2025-06-14 10:04:25,2025-06-14 10:04:25,To Bold Stack portfolio,-20,0,EUR,COMPLETED,239.01
Transfer,Current,2025-06-14 15:34:32,2025-06-14 15:34:32,To pocket EUR Salvadanaio from EUR,-1.5,0,EUR,COMPLETED,237.51
Transfer,Current,2025-06-14 15:41:59,2025-06-14 15:41:59,To pocket EUR Salvadanaio from EUR,-2.22,0,EUR,COMPLETED,235.29
Transfer,Current,2025-06-14 19:08:18,2025-06-14 19:08:18,To pocket EUR Salvadanaio from EUR,-3,0,EUR,COMPLETED,232.29
Transfer,Current,2025-06-15 10:45:12,2025-06-15 10:45:12,To pocket EUR Salvadanaio from EUR,-20,0,EUR,COMPLETED,212.29
Card Payment,Current,2025-06-14 19:08:18,2025-06-15 10:59:22,Hobbista Con A,-30,0,EUR,COMPLETED,182.29
Transfer,Current,2025-06-15 17:12:15,2025-06-15 17:12:15,To pocket EUR Salvadanaio from EUR,-0.03,0,EUR,COMPLETED,182.26
Card Payment,Current,2025-06-14 9:24:58,2025-06-16 4:45:37,Amazon,-23.98,0,EUR,COMPLETED,158.28
Card Payment,Current,2025-06-15 17:12:15,2025-06-16 4:46:41,Bird,-2.99,0,EUR,COMPLETED,155.29
Card Payment,Current,2025-06-14 15:41:37,2025-06-16 7:16:56,Carrefour,-5.26,0,EUR,COMPLETED,150.03
Card Payment,Current,2025-06-14 15:34:31,2025-06-16 11:07:40,The Vaping Company,-26.5,0,EUR,COMPLETED,123.53
Transfer,Current,2025-06-16 16:04:45,2025-06-16 16:04:45,To pocket EUR Salvadanaio from EUR,-2.1,0,EUR,COMPLETED,121.43
Transfer,Current,2025-06-17 7:11:54,2025-06-17 7:11:54,To pocket EUR Salvadanaio from EUR,-0.15,0,EUR,COMPLETED,121.28
Card Payment,Current,2025-06-16 16:04:44,2025-06-17 12:17:20,Pam Panorama,-12.3,0,EUR,COMPLETED,108.98
Card Payment,Current,2025-06-17 7:11:53,2025-06-18 4:07:10,Amazon,-10.95,0,EUR,COMPLETED,98.03
Deposit,Current,2025-06-19 8:33:56,2025-06-19 8:33:57,Payment from PALLOMO MATTEO,1000,0,EUR,COMPLETED,1098.03
Transfer,Current,2025-06-19 16:21:55,2025-06-19 16:21:55,To pocket EUR Salvadanaio from EUR,-1.5,0,EUR,COMPLETED,1096.53
Transfer,Current,2025-06-19 16:30:34,2025-06-19 16:30:34,To pocket EUR Salvadanaio from EUR,-1.5,0,EUR,COMPLETED,1095.03
Card Payment,Current,2025-06-19 16:21:54,2025-06-20 12:10:03,Pam Panorama,-25.5,0,EUR,COMPLETED,1069.53
Card Payment,Current,2025-06-19 16:30:34,2025-06-20 12:10:14,Pincopallino,-14.5,0,EUR,COMPLETED,1055.03
Transfer,Current,2025-06-20 13:37:36,2025-06-20 13:37:36,To pocket EUR Salvadanaio from EUR,-2.31,0,EUR,COMPLETED,1052.72
Transfer,Current,2025-06-20 19:09:11,2025-06-20 19:09:11,To pocket EUR Salvadanaio from EUR,-0.66,0,EUR,COMPLETED,1052.06
Card Payment,Current,2025-06-20 19:09:11,2025-06-21 4:13:16,Glovo,-11.78,0,EUR,COMPLETED,1040.28
Transfer,Current,2025-06-21 10:05:06,2025-06-21 10:05:06,To Bold Stack portfolio,-20,0,EUR,COMPLETED,1020.28
Card Payment,Current,2025-06-20 13:37:35,2025-06-21 11:03:11,Pam Panorama,-25.23,0,EUR,COMPLETED,995.05
Transfer,Current,2025-06-21 20:45:47,2025-06-21 20:45:47,To pocket EUR Salvadanaio from EUR,-2.49,0,EUR,COMPLETED,992.56
Transfer,Current,2025-06-22 0:31:56,2025-06-22 0:31:56,To pocket EUR Salvadanaio from EUR,-0.03,0,EUR,COMPLETED,992.53
Card Payment,Current,2025-06-22 0:31:56,2025-06-22 6:28:18,Amazon,-2.99,0,EUR,COMPLETED,989.54
Transfer,Current,2025-06-22 10:38:54,2025-06-22 10:38:54,To pocket EUR Salvadanaio from EUR,-20,0,EUR,COMPLETED,969.54
Card Payment,Current,2025-06-22 11:32:53,,ITP,-1.7,0,EUR,REVERTED,
Transfer,Current,2025-06-22 11:32:54,2025-06-22 11:32:54,To pocket EUR Salvadanaio from EUR,-0.9,0,EUR,COMPLETED,968.64
Transfer,Current,2025-06-22 12:04:59,2025-06-22 12:04:59,To pocket EUR Salvadanaio from EUR,-3,0,EUR,COMPLETED,965.64
Card Payment,Current,2025-06-22 12:04:41,2025-06-23 6:41:59,Sky Dream Center Scuol,-280,0,EUR,COMPLETED,685.64
Card Payment,Current,2025-06-21 20:45:46,2025-06-23 10:15:24,Pam Panorama,-28.17,0,EUR,COMPLETED,657.47
Transfer,Current,2025-06-23 19:14:26,2025-06-23 19:14:26,To pocket EUR Salvadanaio from EUR,-0.03,0,EUR,COMPLETED,657.44
Transfer,Current,2025-06-23 20:15:55,2025-06-23 20:15:55,To pocket EUR Salvadanaio from EUR,-1.5,0,EUR,COMPLETED,655.94
Card Payment,Current,2025-06-23 19:14:26,2025-06-24 4:42:25,Bird,-2.99,0,EUR,COMPLETED,652.95
Transfer,Current,2025-06-24 20:29:56,2025-06-24 20:29:56,To pocket EUR Salvadanaio from EUR,-0.75,0,EUR,COMPLETED,652.2
Card Payment,Current,2025-06-23 20:15:54,2025-06-25 11:44:10,Gruppo Torinese Trasporti,-1.9,0,EUR,COMPLETED,650.3
Card Payment,Current,2025-06-24 20:29:56,2025-06-25 11:44:27,Pam Panorama,-12.75,0,EUR,COMPLETED,637.55
Transfer,Current,2025-06-25 18:10:13,2025-06-25 18:10:13,To pocket EUR Salvadanaio from EUR,-3,0,EUR,COMPLETED,634.55
Transfer,Current,2025-06-25 18:57:12,2025-06-25 18:57:12,To pocket EUR Salvadanaio from EUR,-0.36,0,EUR,COMPLETED,634.19
Card Payment,Current,2025-06-25 18:57:11,2025-06-26 4:51:03,Superstruct Merchandis,-40.88,0,EUR,COMPLETED,593.31
Card Payment,Current,2025-06-25 18:10:12,2025-06-26 7:39:33,The Vaping Company,-27,0,EUR,COMPLETED,566.31
Transfer,Current,2025-06-26 16:47:35,2025-06-26 16:47:35,To pocket EUR Salvadanaio from EUR,-0.03,0,EUR,COMPLETED,566.28
Card Payment,Current,2025-06-26 16:47:35,2025-06-27 5:42:17,Bird,-2.99,0,EUR,COMPLETED,563.29
Transfer,Current,2025-06-27 15:15:28,2025-06-27 15:15:28,To pocket EUR Salvadanaio from EUR,-1.68,0,EUR,COMPLETED,561.61
Transfer,Current,2025-06-27 20:13:55,2025-06-27 20:13:55,To pocket EUR Salvadanaio from EUR,-0.03,0,EUR,COMPLETED,561.58
Transfer,Current,2025-06-27 21:38:56,2025-06-27 21:38:56,To pocket EUR Salvadanaio from EUR,-3,0,EUR,COMPLETED,558.58
Transfer,Current,2025-06-27 22:45:05,2025-06-27 22:45:05,To pocket EUR Salvadanaio from EUR,-1.5,0,EUR,COMPLETED,557.08
Transfer,Current,2025-06-27 23:46:27,2025-06-27 23:46:27,To pocket EUR Salvadanaio from EUR,-3,0,EUR,COMPLETED,554.08
Transfer,Current,2025-06-28 0:29:43,2025-06-28 0:29:43,To pocket EUR Salvadanaio from EUR,-3,0,EUR,COMPLETED,551.08
Transfer,Current,2025-06-28 1:08:18,2025-06-28 1:08:18,To pocket EUR Salvadanaio from EUR,-3,0,EUR,COMPLETED,548.08
Card Payment,Current,2025-06-27 20:13:54,2025-06-28 4:51:53,Bird,-2.99,0,EUR,COMPLETED,545.09
Card Payment,Current,2025-06-27 22:45:04,2025-06-28 7:00:44,Oh Crispa,-20.5,0,EUR,COMPLETED,524.59
Transfer,Current,2025-06-28 10:05:09,2025-06-28 10:05:09,To Bold Stack portfolio,-20,0,EUR,COMPLETED,504.59
Card Payment,Current,2025-06-27 15:15:27,2025-06-28 12:00:20,Pam Panorama,-26.44,0,EUR,COMPLETED,478.15
Transfer,Current,2025-06-28 15:19:25,2025-06-28 15:19:25,To pocket EUR Salvadanaio from EUR,-1.5,0,EUR,COMPLETED,476.65
Card Payment,Current,2025-06-27 21:38:55,2025-06-28 16:32:52,Toccalmatto,-10,0,EUR,COMPLETED,466.65
Card Payment,Current,2025-06-27 23:46:26,2025-06-28 18:12:52,Capodoglio Murazzi,-15,0,EUR,COMPLETED,451.65
Transfer,Current,2025-06-28 18:36:24,2025-06-28 18:36:24,To pocket EUR Salvadanaio from EUR,-1.05,0,EUR,COMPLETED,450.6
Transfer,Current,2025-06-28 21:07:05,2025-06-28 21:07:05,To pocket EUR Salvadanaio from EUR,-0.03,0,EUR,COMPLETED,450.57
Transfer,Current,2025-06-28 22:30:52,2025-06-28 22:30:52,To pocket EUR Salvadanaio from EUR,-3,0,EUR,COMPLETED,447.57
Card Payment,Current,2025-06-28 21:07:04,2025-06-29 4:32:23,Bird,-2.99,0,EUR,COMPLETED,444.58
Transfer,Current,2025-06-29 8:05:46,2025-06-29 8:05:46,To pocket EUR Salvadanaio from EUR,-1.29,0,EUR,COMPLETED,443.29
Transfer,Current,2025-06-29 10:41:18,2025-06-29 10:41:18,To pocket EUR Salvadanaio from EUR,-20,0,EUR,COMPLETED,423.29
Transfer,Savings,2025-01-01 10:16:08,2025-01-01 10:16:08,To pocket EUR Salvadanaio from EUR,1,0,EUR,COMPLETED,790.67
Transfer,Savings,2025-01-01 16:19:25,2025-01-01 16:19:25,To pocket EUR Salvadanaio from EUR,0.5,0,EUR,COMPLETED,791.17
Transfer,Savings,2025-01-01 17:15:08,2025-01-01 17:15:08,To pocket EUR Salvadanaio from EUR,0.01,0,EUR,COMPLETED,791.18
Transfer,Savings,2025-01-02 8:49:10,2025-01-02 8:49:10,To pocket EUR Salvadanaio from EUR,0.01,0,EUR,COMPLETED,791.19
Transfer,Savings,2025-01-02 9:18:07,2025-01-02 9:18:07,To pocket EUR Salvadanaio from EUR,1,0,EUR,COMPLETED,792.19
Transfer,Savings,2025-01-02 17:40:15,2025-01-02 17:40:15,To pocket EUR Salvadanaio from EUR,0.19,0,EUR,COMPLETED,792.38
Transfer,Savings,2025-01-04 1:38:56,2025-01-04 1:38:56,To pocket EUR Salvadanaio from EUR,25,0,EUR,COMPLETED,817.38
Transfer,Savings,2025-01-04 11:18:25,2025-01-04 11:18:25,To pocket EUR Salvadanaio from EUR,0.01,0,EUR,COMPLETED,817.39
Transfer,Savings,2025-01-04 22:20:05,2025-01-04 22:20:05,To pocket EUR Salvadanaio from EUR,0.1,0,EUR,COMPLETED,817.49
Transfer,Savings,2025-01-05 20:33:12,2025-01-05 20:33:12,To pocket EUR Salvadanaio from EUR,0.1,0,EUR,COMPLETED,817.59
Transfer,Savings,2025-01-06 11:55:45,2025-01-06 11:55:45,To pocket EUR Salvadanaio from EUR,0.47,0,EUR,COMPLETED,818.06
Transfer,Savings,2025-01-07 8:36:47,2025-01-07 8:36:47,To pocket EUR Salvadanaio from EUR,0.01,0,EUR,COMPLETED,818.07
Transfer,Savings,2025-01-08 23:05:09,2025-01-08 23:05:09,To pocket EUR Salvadanaio from EUR,0.01,0,EUR,COMPLETED,818.08
Transfer,Savings,2025-01-09 7:36:12,2025-01-09 7:36:12,To pocket EUR Salvadanaio from EUR,0.69,0,EUR,COMPLETED,818.77
Transfer,Savings,2025-01-10 15:53:03,2025-01-10 15:53:03,To pocket EUR Salvadanaio from EUR,0.98,0,EUR,COMPLETED,819.75
Transfer,Savings,2025-01-11 1:37:25,2025-01-11 1:37:25,To pocket EUR Salvadanaio from EUR,25,0,EUR,COMPLETED,844.75
Transfer,Savings,2025-01-11 19:04:27,2025-01-11 19:04:27,To pocket EUR Salvadanaio from EUR,0.11,0,EUR,COMPLETED,844.86
Transfer,Savings,2025-01-11 22:48:27,2025-01-11 22:48:27,To pocket EUR Salvadanaio from EUR,1,0,EUR,COMPLETED,845.86
Transfer,Savings,2025-01-12 1:28:37,2025-01-12 1:28:37,To pocket EUR Salvadanaio from EUR,1,0,EUR,COMPLETED,846.86
Transfer,Savings,2025-01-12 1:49:18,2025-01-12 1:49:18,To pocket EUR Salvadanaio from EUR,1,0,EUR,COMPLETED,847.86
Transfer,Savings,2025-01-12 3:19:49,2025-01-12 3:19:49,To pocket EUR Salvadanaio from EUR,1,0,EUR,COMPLETED,848.86
Transfer,Savings,2025-01-13 13:38:31,2025-01-13 13:38:31,To pocket EUR Salvadanaio from EUR,0.01,0,EUR,COMPLETED,848.87
Transfer,Savings,2025-01-17 15:54:35,2025-01-17 15:54:35,To pocket EUR Salvadanaio from EUR,0.2,0,EUR,COMPLETED,849.07
Transfer,Savings,2025-01-17 16:13:07,2025-01-17 16:13:07,To pocket EUR Salvadanaio from EUR,0.28,0,EUR,COMPLETED,849.35
Transfer,Savings,2025-01-17 21:43:51,2025-01-17 21:43:51,To pocket EUR Salvadanaio from EUR,0.12,0,EUR,COMPLETED,849.47
Transfer,Savings,2025-01-18 1:38:19,2025-01-18 1:38:19,To pocket EUR Salvadanaio from EUR,25,0,EUR,COMPLETED,874.47
Transfer,Savings,2025-01-18 18:21:29,2025-01-18 18:21:29,To pocket EUR Salvadanaio from EUR,0.07,0,EUR,COMPLETED,874.54
Transfer,Savings,2025-01-18 20:39:16,2025-01-18 20:39:16,To pocket EUR Salvadanaio from EUR,1,0,EUR,COMPLETED,875.54
Transfer,Savings,2025-01-19 0:16:42,2025-01-19 0:16:42,To pocket EUR Salvadanaio from EUR,0.66,0,EUR,COMPLETED,876.2
Transfer,Savings,2025-01-19 13:13:17,2025-01-19 13:13:17,To pocket EUR Salvadanaio from EUR,0.01,0,EUR,COMPLETED,876.21
Transfer,Savings,2025-01-19 15:02:38,2025-01-19 15:02:38,To pocket EUR Salvadanaio from EUR,0.38,0,EUR,COMPLETED,876.59
Transfer,Savings,2025-01-19 16:27:01,2025-01-19 16:27:01,To pocket EUR Salvadanaio from EUR,0.1,0,EUR,COMPLETED,876.69
Transfer,Savings,2025-01-19 19:06:15,2025-01-19 19:06:15,To pocket EUR Salvadanaio from EUR,0.24,0,EUR,COMPLETED,876.93
Transfer,Savings,2025-01-24 16:52:54,2025-01-24 16:52:54,To pocket EUR Salvadanaio from EUR,1,0,EUR,COMPLETED,877.93
Transfer,Savings,2025-01-25 1:38:52,2025-01-25 1:38:52,To pocket EUR Salvadanaio from EUR,25,0,EUR,COMPLETED,902.93
Transfer,Savings,2025-01-25 8:12:57,2025-01-25 8:12:57,To pocket EUR Salvadanaio from EUR,0.01,0,EUR,COMPLETED,902.94
Transfer,Savings,2025-01-25 8:14:04,2025-01-25 8:14:04,To pocket EUR Salvadanaio from EUR,0.01,0,EUR,COMPLETED,902.95
Transfer,Savings,2025-01-25 18:39:46,2025-01-25 18:39:46,To pocket EUR Salvadanaio from EUR,0.24,0,EUR,COMPLETED,903.19
Transfer,Savings,2025-01-26 11:23:47,2025-01-26 11:23:47,To pocket EUR Salvadanaio from EUR,0.25,0,EUR,COMPLETED,903.44
Transfer,Savings,2025-01-26 16:46:14,2025-01-26 16:46:14,To pocket EUR Salvadanaio from EUR,0.01,0,EUR,COMPLETED,903.45
Transfer,Savings,2025-01-26 16:58:37,2025-01-26 16:58:37,To pocket EUR Salvadanaio from EUR,1,0,EUR,COMPLETED,904.45
Transfer,Savings,2025-01-26 17:21:15,2025-01-26 17:21:15,To pocket EUR Salvadanaio from EUR,1,0,EUR,COMPLETED,905.45
Transfer,Savings,2025-01-28 17:35:04,2025-01-28 17:35:04,To pocket EUR Salvadanaio from EUR,1,0,EUR,COMPLETED,906.45
Transfer,Savings,2025-02-01 2:01:48,2025-02-01 2:01:48,To pocket EUR Salvadanaio from EUR,25,0,EUR,COMPLETED,931.45
Transfer,Savings,2025-02-01 9:08:34,2025-02-01 9:08:34,To pocket EUR Salvadanaio from EUR,0.8,0,EUR,COMPLETED,932.25
Transfer,Savings,2025-02-01 18:17:26,2025-02-01 18:17:26,To pocket EUR Salvadanaio from EUR,0.04,0,EUR,COMPLETED,932.29
Transfer,Savings,2025-02-01 19:56:08,2025-02-01 19:56:08,To pocket EUR Salvadanaio from EUR,0.01,0,EUR,COMPLETED,932.3
Transfer,Savings,2025-02-01 22:32:21,2025-02-01 22:32:21,To pocket EUR Salvadanaio from EUR,0.5,0,EUR,COMPLETED,932.8
Transfer,Savings,2025-02-02 16:12:54,2025-02-02 16:12:54,To pocket EUR Salvadanaio from EUR,0.05,0,EUR,COMPLETED,932.85
Transfer,Savings,2025-02-03 22:43:23,2025-02-03 22:43:23,To pocket EUR Salvadanaio from EUR,0.6,0,EUR,COMPLETED,933.45
Transfer,Savings,2025-02-04 18:22:21,2025-02-04 18:22:21,To pocket EUR Salvadanaio from EUR,0.64,0,EUR,COMPLETED,934.09
Transfer,Savings,2025-02-05 17:57:42,2025-02-05 17:57:42,To pocket EUR Salvadanaio from EUR,0.11,0,EUR,COMPLETED,934.2
Transfer,Savings,2025-02-05 18:12:11,2025-02-05 18:12:11,To pocket EUR Salvadanaio from EUR,0.5,0,EUR,COMPLETED,934.7
Transfer,Savings,2025-02-06 14:10:35,2025-02-06 14:10:35,To pocket EUR Salvadanaio from EUR,1,0,EUR,COMPLETED,935.7
Transfer,Savings,2025-02-06 21:52:22,2025-02-06 21:52:22,To pocket EUR Salvadanaio from EUR,0.6,0,EUR,COMPLETED,936.3
Transfer,Savings,2025-02-07 23:02:00,2025-02-07 23:02:00,To pocket EUR Salvadanaio from EUR,1,0,EUR,COMPLETED,937.3
Transfer,Savings,2025-02-08 1:39:20,2025-02-08 1:39:20,To pocket EUR Salvadanaio from EUR,25,0,EUR,COMPLETED,962.3
Transfer,Savings,2025-02-08 11:21:32,2025-02-08 11:21:32,To pocket EUR Salvadanaio from EUR,1,0,EUR,COMPLETED,963.3
Transfer,Savings,2025-02-08 18:50:26,2025-02-08 18:50:26,To pocket EUR Salvadanaio from EUR,0.71,0,EUR,COMPLETED,964.01
Transfer,Savings,2025-02-09 17:09:41,2025-02-09 17:09:41,To pocket EUR Salvadanaio from EUR,0.33,0,EUR,COMPLETED,964.34
Transfer,Savings,2025-02-10 12:17:49,2025-02-10 12:17:49,To pocket EUR Salvadanaio from EUR,0.01,0,EUR,COMPLETED,964.35
Transfer,Savings,2025-02-10 13:17:44,2025-02-10 13:17:44,To pocket EUR Salvadanaio from EUR,0.3,0,EUR,COMPLETED,964.65
Transfer,Savings,2025-02-12 8:59:40,2025-02-12 8:59:40,To pocket EUR Salvadanaio from EUR,0.75,0,EUR,COMPLETED,965.4
Transfer,Savings,2025-02-12 12:00:24,2025-02-12 12:00:24,To pocket EUR Salvadanaio from EUR,0.03,0,EUR,COMPLETED,965.43
Transfer,Savings,2025-02-12 14:57:47,2025-02-12 14:57:47,To pocket EUR Salvadanaio from EUR,0.39,0,EUR,COMPLETED,965.82
Transfer,Savings,2025-02-12 15:47:27,2025-02-12 15:47:27,To pocket EUR Salvadanaio from EUR,0.01,0,EUR,COMPLETED,965.83
Transfer,Savings,2025-02-12 19:58:28,2025-02-12 19:58:28,To pocket EUR Salvadanaio from EUR,0.5,0,EUR,COMPLETED,966.33
Transfer,Savings,2025-02-13 23:51:50,2025-02-13 23:51:50,To pocket EUR Salvadanaio from EUR,0.01,0,EUR,COMPLETED,966.34
Transfer,Savings,2025-02-14 8:39:04,2025-02-14 8:39:04,To pocket EUR Salvadanaio from EUR,1,0,EUR,COMPLETED,967.34
Transfer,Savings,2025-02-14 16:02:54,2025-02-14 16:02:54,To pocket EUR Salvadanaio from EUR,0.05,0,EUR,COMPLETED,967.39
Transfer,Savings,2025-02-15 1:41:19,2025-02-15 1:41:19,To pocket EUR Salvadanaio from EUR,25,0,EUR,COMPLETED,992.39
Transfer,Savings,2025-02-15 18:37:35,2025-02-15 18:37:35,To pocket EUR Salvadanaio from EUR,0.36,0,EUR,COMPLETED,992.75
Transfer,Savings,2025-02-15 22:11:16,2025-02-15 22:11:16,To pocket EUR Salvadanaio from EUR,1,0,EUR,COMPLETED,993.75
Transfer,Savings,2025-02-15 23:04:13,2025-02-15 23:04:13,To pocket EUR Salvadanaio from EUR,1,0,EUR,COMPLETED,994.75
Transfer,Savings,2025-02-16 8:47:36,2025-02-16 8:47:36,To pocket EUR Salvadanaio from EUR,1,0,EUR,COMPLETED,995.75
Transfer,Savings,2025-02-16 14:42:09,2025-02-16 14:42:09,To pocket EUR Salvadanaio from EUR,0.25,0,EUR,COMPLETED,996
Transfer,Savings,2025-02-19 18:49:16,2025-02-19 18:49:16,To pocket EUR Salvadanaio from EUR,0.96,0,EUR,COMPLETED,996.96
Transfer,Savings,2025-02-21 15:39:00,2025-02-21 15:39:00,To pocket EUR Salvadanaio from EUR,0.67,0,EUR,COMPLETED,997.63
Transfer,Savings,2025-02-21 15:50:17,2025-02-21 15:50:17,To pocket EUR Salvadanaio from EUR,0.6,0,EUR,COMPLETED,998.23
Transfer,Savings,2025-02-21 20:43:57,2025-02-21 20:43:57,To pocket EUR Salvadanaio from EUR,0.44,0,EUR,COMPLETED,998.67
